,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_transupp_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,epic_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,pm_main,powerwindow_main,prime_main,sha_main,st_main,statemate_main
iir_main,18919,20087,18859,20147,20078,19992,19100,18919,20379,20346,0,19127,20379,18421,18877,19906,18421,20347,18919,18919,18810,18910,19510,19610,19610,19609,19610,19609,19610,19610,19610,19610,19609,19610,19610,19410,19609
insertsort_main,102580,100336,97303,97296,99439,136234,98737,99295,128633,98768,0,117366,128306,117109,98185,101732,96744,98769,96994,96993,98314,98824,98323,99623,99624,99624,99624,99623,99623,99624,99624,99623,99624,99623,99624,99324,99623
jfdctint_main,89532,92682,77970,80279,88325,90157,80308,78304,91079,90970,0,90520,84879,89276,90887,94279,88583,91519,87850,90520,78814,80757,79507,93607,93607,93607,93607,93607,93607,93607,93607,93607,93607,88407,93607,86807,93607
lift_main,60851512,60919108,60849732,56879240,60649132,58688660,58435593,59908966,61157750,62843208,0,58507997,61176456,59772758,62048440,63578249,59049119,60275618,60666649,59808983,57554214,58597827,57463784,58930146,57313847,58910146,57638546,58930146,56606946,57701146,56559546,58930146,0,57031346,0,56739046,57652947
lms_main,13452876,13487749,13452875,13506744,13487749,13613385,13508453,13452875,13487749,13506744,0,13452876,13487750,13613384,13452875,13506744,13613384,13527648,13452876,13452876,13506744,13613384,13613384,13452876,13527648,13527647,13527648,13527648,13527648,13527647,13527648,13527648,13527648,13527648,13527647,13527647,13527647
ludcmp_main,709015,693564,709014,702056,693565,710115,693565,709014,693565,702056,0,0,693564,710115,709014,702056,710116,702056,709014,709015,702057,710116,710116,709020,693565,702056,702057,702056,702056,702056,702056,702056,702056,702056,702056,702056,702056
matrix1_main,1549912,1544816,1549911,1543006,1545615,1544712,1544815,1549911,1544815,1543006,0,0,1544816,1544712,1549911,1543006,1544713,1543006,1549911,1549911,1543006,1544712,1544713,1549911,1544816,1543006,1543006,1543006,1543006,1543006,1543006,0,1543006,1543006,1543006,1543006,1543006
md5_main,2221245453,2239227769,2269142029,2268011070,2266292601,2244051037,2269269568,2221248013,2269595820,2223132427,0,2252252429,2269798521,2240984413,2221270913,2223079230,2241294173,2236967486,2269120781,2266155533,2253630014,2244014429,2274356829,2252249729,2269637457,2223104268,2235356941,2270562366,2270309066,2270374066,2270308766,2270562366,2270562365,2270313565,2270562366,2270410866,2270442566
minver_main,357130,0,344770,300170,349659,282261,327239,338142,349461,372715,0,356703,347661,357269,357296,362855,351485,319162,360388,347758,332744,274936,363180,364891,348762,362419,363542,354548,354376,358475,351676,358476,358476,354076,358475,347675,358476
ndes_main,3690604,0,3511283,3978416,4024602,3743954,3711143,3854609,3881768,3561368,0,3853235,3720949,3667753,3898286,4026470,3803388,4078780,4068475,3917642,3785060,3821843,3804189,3665400,3814244,3610367,3837171,3784979,3713290,3995854,3899854,3995854,3995854,3913755,3995854,3836355,3995855
petrinet_main,136419,145338,133747,136794,140564,145985,141015,142061,144933,134518,0,0,143657,145713,133109,141106,146853,137442,136826,137945,141122,140515,142001,139535,136864,142834,132245,142286,138485,139250,142012,142012,142012,142012,142012,142012,142012
pm_main,821932366,0,823487443,822695970,0,824689835,822672893,822218066,823012353,822767517,0,0,824200469,823103122,823784344,822203342,823723556,822797415,0,822297166,822544286,824302389,823613993,822941264,822641705,823611689,0,822028353,824297836,822110039,822614372,823649773,823649773,0,823649773,823254373,823466773
powerwindow_main,163676006,212148305,195545783,220327941,0,167262911,195869999,195168873,199227644,186825559,0,176371937,164903183,195283905,211102343,177904558,176694792,217624476,213626581,174905641,162440109,197719386,193775323,0,197920089,148455505,200434080,138439430,160718361,202579785,147086611,202071448,221729206,196830106,0,196883506,204030106
prime_main,1577069,0,285529,1525528,1500463,1560064,1499706,1520821,1558612,1583000,0,1577177,1538120,1550608,394735,1577743,1581163,468780,1609203,1575902,1482499,1497964,1536193,1580668,1565481,1109861,1563286,1569718,1568707,1577743,1581011,0,1581396,1459926,1611019,1459499,1583446
sha_main,274412779,276333051,275883306,275846899,276077766,277030316,276130646,274413342,276180658,277246013,0,274478603,276174154,275157053,276083111,275896869,277030098,275769505,277558550,277513721,275897988,275494796,275547351,0,276319763,278315060,277557496,277792883,274691397,275356858,275243261,275889371,0,275642746,275769716,275769716,275769716
st_main,5166183,0,5333587,5239302,5607328,5172593,5688643,5243166,5723992,5177542,0,5384523,5708117,5145547,5167011,5177854,5178354,5177765,5389433,5280245,5220687,5237941,5365538,5167002,5717607,5177651,5157502,5494780,5283360,5178296,5180064,5724807,5275178,5571628,5167075,5338313,5287348
statemate_main,225872,7502002,7149603,7379439,7622145,7436204,7109913,299687,7656640,7177428,0,7219165,7385258,257623,7517849,7487086,367640,7735034,7425803,466766,7156842,7128144,7183749,7424367,7655485,288223,7314772,404522,7252442,7617681,7076410,7599440,7382441,7241122,7375426,7412807,7610007
