,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,0.012656,0,0.495597,0,0,1.224892,0
binarysearch_main,0.002484,0.001782,0.011826,0.033936,0.005392,0.006432,0.082814,0.00637
expint_main,0,0.039491,0,1.374485,0,0,5.59206,0
fir2dim_main,0.010495,0.003448,0.014788,0,0.010294,0.011863,0,0.022511
fir_main,0,0.004147,0,0.064667,0,0,0.383334,0
jfdctint_main,0,0.016064,0,0.692369,0,0,3.109797,0
ndes_main,0.219119,0.05236,0.597402,0,0.462797,0.32339,0,0.810942
statemate_main,0,0.009275,0,0.358362,0,0,3.930247,0
