,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,huff_dec_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,0.042502,0,0.235535,0,1.0208,0,0.788281,0
binarysearch_main,0.128988,0.025049,0.298814,0.107821,0.067299,0.644461,0.040613,0.472407,0.281055
expint_main,0,0.243237,0,0.964316,0,4.800673,0,3.698055,0
fir2dim_main,0.678245,0.087835,1.033974,0,0.32959,0,0.245344,0,1.593275
fir_main,0,0.037748,0,0.271165,0,1.497829,0,1.107653,0
huff_dec_main,2.680829,0.398727,4.093809,0,1.384944,0,0.919758,0,6.200029
jfdctint_main,0,0.02329,0,0.157756,0,0.812449,0,0.617785,0
ndes_main,2.074555,0.303693,3.100908,0,1.022526,0,0.730355,0,4.515892
statemate_main,0,0.081504,0,0.492769,0,2.01771,0,1.554113,0
