,cover_main,dijkstra_main,fir2dim_main,ndes_main
cover_main,0,0,0,85.434358
dijkstra_main,0,0,0,67.490241
fir2dim_main,0,0,0,74.606322
ndes_main,86.15389400000001,69.070582,73.99963,0
