,cover_main,dijkstra_main,fir2dim_main,ndes_main
cover_main,0,0,0,1.373789
dijkstra_main,0,0,0,0.991403
fir2dim_main,0,0,0,2.66146
ndes_main,2.093325,2.571744,2.054768,0
