,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,huff_dec_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,0.01641,0,0.609867,0,1.751683,0,1.370861,0
binarysearch_main,0.003132,0.001848,0.012453,0.058751,0.00334,0.112799,0.006797,0.087334,0.006861
expint_main,0,0.03802,0,1.453006,0,4.109354,0,3.183072,0
fir2dim_main,0.011708,0.005695,0.014988,0,0.00951,0,0.011446,0,0.025226
fir_main,0,0.002441,0,0.071237,0,0.225307,0,0.163165,0
huff_dec_main,0.011183,0.002663,0.020333,0,0.00266,0,0.036102,0,0.148326
jfdctint_main,0,0.014052,0,0.388751,0,1.364965,0,1.396474,0
ndes_main,0.119349,0.044398,0.357963,0,0.175719,0,0.178581,0,0.977152
statemate_main,0,0.012,0,0.551331,0,1.221804,0,3.299855,0
