,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,247331
binarysearch_main,0,0,0,13228
cover_main,0,0,0,348485
ndes_main,3520826,3450942,3807674,0
