,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,245429
binarysearch_main,0,0,0,14486
cover_main,0,0,0,348485
ndes_main,4393873,4052756,4615192,0
