,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,60.40828200000001,0,88.987986,0,0,107.248402,0
binarysearch_main,60.491276,12.950749,34.215479,40.313946,20.05487,17.133383000000002,56.342285,111.98781600000001
expint_main,0,34.179133,0,51.580628000000004,0,0,78.171681,0
fir2dim_main,89.452517,40.293549000000006,51.65609500000001,0,43.812782999999996,43.906870999999995,0,141.122117
fir_main,0,20.036229,0,43.758995,0,0,62.268961,0
jfdctint_main,0,17.113375,0,43.833666,0,0,56.347495,0
ndes_main,108.615267,56.167942,77.596067,0,62.186080999999994,56.462238,0,159.301897
statemate_main,0,111.78333900000001,0,139.985469,0,0,156.000208,0
