,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,224131,0,224132,0,0,224131,0
binarysearch_main,12991,12928,12928,12928,12928,12928,12928,12928
expint_main,0,7230769,0,7354286,0,0,7233037,0
fir2dim_main,533114,517585,506044,0,516241,516240,0,516240
fir_main,0,52781662,0,52824242,0,0,52839564,0
jfdctint_main,0,71470,0,75276,0,0,74707,0
ndes_main,3458226,3450442,3723058,0,3298757,3481018,0,3703769
statemate_main,0,6886825,0,6952182,0,0,7105517,0
