,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,228911,0,245749,0,0,245749,0
binarysearch_main,16504,13241,14486,14486,14278,14071,14486,14486
expint_main,0,7477368,0,8597782,0,0,8588507,0
fir2dim_main,545828,517586,514987,0,532688,517840,0,540173
fir_main,0,52781662,0,53260342,0,0,53274964,0
jfdctint_main,0,71470,0,91272,0,0,92308,0
ndes_main,4393873,3460123,4317938,0,3964342,4102656,0,4393017
statemate_main,0,7042110,0,7263558,0,0,7364497,0
