,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,0.035596,0,0.210733,0,0,0.719536,0
binarysearch_main,0.125478,0.014644,0.174473,0.110397,0.095367,0.062478,0.484077,0.28473
expint_main,0,0.127422,0,0.859987,0,0,3.523724,0
fir2dim_main,0.687932,0.089084,0.991374,0,0.316988,0.228387,0,1.660911
fir_main,0,0.066148,0,0.259812,0,0,1.139252,0
jfdctint_main,0,0.036918,0,0.155756,0,0,0.624262,0
ndes_main,2.125897,0.305173,3.12354,0,1.050107,0.735615,0,4.953558
statemate_main,0,0.075821,0,0.460193,0,0,1.563515,0
