,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,huff_dec_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,116.11652699999999,0,161.363242,0,199.477822,0,242.91412599999998,0
binarysearch_main,116.11652699999999,21.59754,47.936640000000004,52.807785,31.219737000000002,112.93239,29.739586000000003,175.58737399999998,242.755257
expint_main,0,47.936640000000004,0,84.478665,0,99.69187199999999,0,115.503226,0
fir2dim_main,161.363242,52.807785,84.478665,0,72.38614799999999,0,71.807128,0,283.096864
fir_main,0,31.219737000000002,0,72.38614799999999,0,126.385231,0,162.998843,0
huff_dec_main,199.477822,112.93239,99.69187199999999,0,126.385231,0,142.79115,0,292.497322
jfdctint_main,0,29.739586000000003,0,71.807128,0,142.79115,0,92.970452,0
ndes_main,242.91412599999998,175.58737399999998,115.503226,0,162.998843,0,92.970452,0,263.30071999999996
statemate_main,0,242.755257,0,283.096864,0,292.497322,0,263.30071999999996,0
