,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,0.917242
binarysearch_main,0,0,0,0.116354
cover_main,0,0,0,0.000594
ndes_main,0.264646,0.120077,1.581374,0
