,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,245747
binarysearch_main,0,0,0,13228
cover_main,0,0,0,348485
ndes_main,3690604,3511283,3881768,0
