,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,507571
binarysearch_main,0,0,0,17728
cover_main,0,0,0,348485
ndes_main,3892102,3662745,4132749,0
