,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,223571
binarysearch_main,0,0,0,12928
cover_main,0,0,0,348485
ndes_main,3452402,3450245,3606049,0
