,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,0.499133
binarysearch_main,0,0,0,0.567007
cover_main,0,0,0,1.034322
ndes_main,1.352831,0.374208,1.4791,0
