,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,133.727511
binarysearch_main,0,0,0,71.758895
cover_main,0,0,0,124.268306
ndes_main,134.581209,71.566096,124.713084,0
