,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,438631
binarysearch_main,0,0,0,17728
cover_main,0,0,0,348485
ndes_main,3897926,3665942,4134274,0
