,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,224131
binarysearch_main,0,0,0,12928
cover_main,0,0,0,348485
ndes_main,3458226,3450442,3607574,0
