,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,0.509367
binarysearch_main,0,0,0,0.562842
cover_main,0,0,0,1.614356
ndes_main,1.397149,0.358782,1.687577,0
