,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,128.941098
binarysearch_main,0,0,0,66.342829
cover_main,0,0,0,112.041566
ndes_main,128.941098,66.342829,112.041566,0
