,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,248299
binarysearch_main,0,0,0,14486
cover_main,0,0,0,348485
ndes_main,4393873,3450245,4250601,0
