,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,huff_dec_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,70.848325,0,103.26218800000001,0,139.800717,0,124.43006400000002,0
binarysearch_main,70.848325,11.94903,28.949724,43.600616,19.816482,76.679034,17.511247,62.993768,131.73116100000001
expint_main,0,28.949724,0,59.7234,0,86.424415,0,95.56424899999999,0
fir2dim_main,103.26218800000001,43.600616,59.7234,0,49.467666,0,49.926092,0,163.23297100000002
fir_main,0,19.816482,0,49.467666,0,81.044391,0,69.97707199999999,0
huff_dec_main,139.800717,76.679034,86.424415,0,81.044391,0,82.94973999999999,0,190.91698300000002
jfdctint_main,0,17.511247,0,49.926092,0,82.94973999999999,0,62.550007,0
ndes_main,124.43006400000002,62.993768,95.56424899999999,0,69.97707199999999,0,62.550007,0,187.589006
statemate_main,0,131.73116100000001,0,163.23297100000002,0,190.91698300000002,0,187.589006,0
