,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,huff_dec_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,128.67215,0,153.847325,0,209.982174,0,177.705234,0
binarysearch_main,128.67215,22.743712,49.375249999999994,52.480897,31.082274,105.84418099999999,29.485985,192.23656599999998,200.296394
expint_main,0,49.375249999999994,0,75.42140900000001,0,158.716667,0,213.432887,0
fir2dim_main,153.847325,52.480897,75.42140900000001,0,73.477646,0,77.549437,0,236.769407
fir_main,0,31.082274,0,73.477646,0,106.66392499999999,0,117.949802,0
huff_dec_main,209.982174,105.84418099999999,158.716667,0,106.66392499999999,0,174.465803,0,316.135307
jfdctint_main,0,29.485985,0,77.549437,0,174.465803,0,137.947024,0
ndes_main,177.705234,192.23656599999998,213.432887,0,117.949802,0,137.947024,0,215.90873499999998
statemate_main,0,200.296394,0,236.769407,0,316.135307,0,215.90873499999998,0
