,cover_main,dijkstra_main,fir2dim_main,ndes_main
cover_main,0,0,0,0.000394
dijkstra_main,0,0,0,0.237326
fir2dim_main,0,0,0,0.324228
ndes_main,0.289899,3.508633,2.054368,0
