,cover_main,dijkstra_main,fir2dim_main,ndes_main
cover_main,0,0,0,96.643542
dijkstra_main,0,0,0,75.107272
fir2dim_main,0,0,0,89.73888099999999
ndes_main,96.933047,78.378579,91.469021,0
