,cover_main,dijkstra_main,fir2dim_main,ndes_main
cover_main,0,0,0,86.144266
dijkstra_main,0,0,0,68.80023399999999
fir2dim_main,0,0,0,75.880017
ndes_main,87.339414,73.046195,80.40003999999999,0
