,cover_main,dijkstra_main,fir2dim_main,ndes_main
cover_main,0,0,0,0.0004
dijkstra_main,0,0,0,0.005242
fir2dim_main,0,0,0,0.446289
ndes_main,1.195548,4.251203,4.966312,0
