,adpcm_dec_main,audiobeam_main,binarysearch_main,bsort_main,cjpeg_transupp_main,cjpeg_wrbmp_main,complex_updates_main,countnegative_main,cover_main,dijkstra_main,epic_main,fft_main,filterbank_main,fir2dim_main,fmref_main,g723_enc_main,gsm_dec_main,gsm_enc_main,h264_dec_main,huff_dec_main,iir_main,insertsort_main,jfdctint_main,lift_main,lms_main,ludcmp_main,matrix1_main,md5_main,minver_main,ndes_main,petrinet_main,pm_main,powerwindow_main,prime_main,rijndael_dec_main,sha_main,st_main,statemate_main
g723_enc_main,0.20944,3863.282318,0.150714,0.163926,5.369036,30.733433,0.07239,0.257816,0.315124,0.452434,0,0,0.11641,0.526981,6.040216,0.26579,0.944483,1.066051,43.949181,2.147681,0.104912,0.702617,0.111055,0.107824,0.110506,0.735184,0.041949,1.590184,15.710389,1.677045,0.16495,91.082356,1.753025,309.739071,0,12.641985,15.930862,0.302407
gsm_dec_main,0.592077,11138.455294,0.422947,0.489517,14.047403,63.50493,0.325377,0.495077,1.046832,1.586033,0,0,0.343131,1.603766,14.575794,0.891238,2.83081,1.597405,5.008077,6.390461,0.199221,2.124672,0.340454,0.29765,0.226592,2.498989,0.183608,10.694665,23.800122,5.855349,0.637979,239.310362,5.683676,914.483789,0,41.444791,44.855114,0.787882
gsm_enc_main,0.19744,12982.987065,0.454218,0.687636,10.793073,88.038424,0.183775,0.93652,1.705627,0.991542,0,0,0.278986,2.099756,8.909793,0.606738,0.989805,0.954312,110.153473,6.463335,0.257251,1.256918,0.424799,0.186955,0.177902,1.786423,0.099159,2.499817,32.167077,5.985455,0.311148,248.918588,4.992494,835.162386,0,32.731179,38.78466,0.701284
h264_dec_main,50.662962,7045.035772,9.732175,19.824618,7.642,4064.935029,13.523689,24.984932,76.200474,72.804664,0,1.022078,19.260631,59.798546,922.152235,121.706061,15.108185,295.790141,7350.673553,301.552248,8.093767,47.612314,22.118202,33.557686,11.109111,101.830465,6.041313,37.498903,31.483942,11.858061,71.754759,0,393.879188,26.028622,0,40.273582,1420.985313,121.641362
huff_dec_main,5.752617,15390.066135,0.685295,1.386777,19.945262,152.838438,0.390647,1.156573,5.907858,4.637251,0,1.329631,1.15852,2.99508,51.810375,9.232619,22.560481,27.5828,487.694959,23.750384,0.581376,3.060239,1.017235,2.446761,0.624072,7.461964,0.511646,34.78988,45.041084,13.109737,4.40473,0,24.600959,1143.240486,0,72.279778,60.161606,7.159691
iir_main,0.219392,554.60082,0.018947,0.03507,0.477535,4.018397,0.018818,0.032202,0.133794,0.465362,0,0,0.036144,0.084324,1.647267,0.368853,0.774627,1.005239,15.563384,0.798808,0.019591,0.05578,0.032134,0.079327,0.0286,0.219139,0.010837,1.161977,1.62189,0.404648,0.146166,9.518811,0.86337,30.623062,0,2.00699,2.02123,0.275098
insertsort_main,1.175568,3038.553054,0.089835,0.223301,0,26.020734,0.11634,0.271846,1.246936,1.300767,0,0.450255,0.349591,0.588604,11.162417,2.678346,5.84475,5.243385,115.974369,3.996863,0.078489,0.597405,0.225028,0.579104,0.191856,1.124777,0.07493,8.614866,7.476223,2.892696,1.063072,66.046114,5.21811,165.426311,0,15.285388,13.211536,2.494911
jfdctint_main,0.24691,1061.299556,0.02608,0.072089,0,8.647784,0.022091,0.074379,0.260666,0.297272,0,0.101384,0.083805,0.155322,2.382434,0.357829,1.167304,1.597644,36.155909,0.914937,0.020574,0.109696,0.046347,0.186881,0.03289,0.420966,0.01856,1.751731,2.140964,0.698552,0.21748,20.101484,1.504735,58.233311,0,3.513531,3.134479,0.365112
lift_main,0.09043,1687.178489,0.042397,0.058142,0.846966,8.382087,0.039658,0.084379,0.644875,0.189356,0,0.054077,0.049204,0.186788,1.809801,0.186846,0.553823,0.494679,17.810121,0.87808,0.02513,0.164078,0.075784,0.064228,0.030848,0.285404,0.01735,1.143752,2.751,0.658574,0.113397,27.494903,0,95.470039,0,0,4.900667,0.166987
lms_main,0.17045,557.923253,0.01542,0.041802,0.38019,4.942478,0.019153,0.040601,0.2118,0.126616,0,0.044454,0.036743,0.095118,1.583115,0.357038,0.799866,0.700732,15.879857,0.583114,0.01954,0.100571,0.034812,0.081637,0.034965,0.287202,0.020417,1.422938,1.842529,0.439065,0.146942,11.382951,0.751806,32.334561,0,2.224144,1.753404,0.236996
ludcmp_main,1.716666,5251.149771,0.187342,0.230858,3.221255,25.099242,0.168824,0.207286,2.890493,1.855984,0,0,0.348908,0.823026,19.487847,3.443055,7.871623,7.118259,161.587317,6.95814,0.109707,0.53336,0.476199,0.81162,0.261269,2.184565,0.152816,29.684807,14.93071,4.213294,1.493249,95.533912,7.564071,275.62648,0,20.77177,14.239686,2.478385
matrix1_main,0.087098,266.133264,0.013048,0.02108,0.354382,1.704252,0.011065,0.02173,0.064179,0.327384,0,0,0.029912,0.084832,0.898957,0.139681,0.504246,0.384673,8.869877,0.45936,0.00722,0.03611,0.019417,0.045937,0.020136,0.148809,0.009482,0.700226,0.686334,0.243125,0.082353,0,0.427659,18.067446,0,1.341692,0.9515,0.136873
md5_main,1.970965,21039.903325,1.361335,2.47843,37.094049,270.476063,1.185654,2.470502,8.762678,8.065115,0,2.236928,0.696763,2.897857,57.476529,2.21431,10.539947,6.107255,14.850838,12.749671,0.379524,2.72578,0.679885,1.005217,0.482077,9.341588,0.285169,31.40147,98.764554,9.835522,1.389716,824.720229,11.268345,1704.250404,0,107.115667,194.45329,2.828207
minver_main,20.797415,33912.445597,2.55637,4.015072,77.206961,400.06427,1.380814,2.645048,15.860839,18.924033,0,0,4.17641,10.351569,222.7328,54.750038,89.581613,122.945872,62.263296,61.317447,1.986272,6.626535,3.760114,10.352516,3.043237,26.992275,1.256169,342.365277,170.636948,67.149644,24.858104,1146.63483,124.39834,157.83008,0,261.567459,226.992383,40.476756
ndes_main,3.009902,12650.200532,0.623055,0.719074,14.946968,109.276079,0.472189,0.991691,2.818298,2.691153,0,0.995956,0.839754,2.283936,36.330909,5.870354,19.76423,17.832736,16.358258,13.321734,0.301841,1.618953,0.80684,1.820527,0.48426,4.091097,0.26618,30.187748,43.732623,14.355818,3.89173,323.728831,20.067186,813.140419,0,62.557018,42.674479,5.679456
petrinet_main,0.208432,1711.049622,0.07273,0.124038,1.203351,19.046514,0.049711,0.122882,0.179312,0.168636,0,0,0.061609,0.438567,2.0326,0.180575,0.775494,0.565953,25.057911,1.274412,0.034931,0.242009,0.061869,0.069898,0.041419,0.382908,0.022489,0.963592,5.573902,0.891323,0.159678,47.763173,0.967758,139.680847,0,6.349852,8.063305,0.190201
pm_main,135.586874,0,9.811094,24.297153,0,2639.923442,10.821469,18.600571,133.296828,175.264074,0,0,0,125.064937,1997.399596,318.440749,901.822711,936.504035,0,0,13.814648,60.553857,39.062044,108.614128,22.823692,186.134831,0,2578.525611,1227.660871,496.248347,183.308169,10902.457378,924.948018,1071.961229,0,1831.730284,1708.058721,290.870731
powerwindow_main,3.553382,18696.32556,0.628443,0.817903,0,124.493445,0.617784,1.355791,2.94313,4.525989,0,0.961346,0.886161,3.443795,34.44641,5.05934,17.442687,16.483182,405.384754,14.66708,0.495966,2.14379,0.847058,0,0.509187,4.68092,0.289463,24.337196,54.159059,12.73226,2.975759,376.265685,26.379749,63.308343,0,0,64.83161,4.160817
prime_main,589.91731,45198.666455,66.989235,122.853882,78.356561,13487.307621,50.205772,127.891716,576.3499,661.91711,0,202.845511,174.883442,448.62051,7542.326128,1309.276432,3695.14493,3691.487191,62.006433,2619.494523,55.989448,242.560997,139.036916,381.579489,80.388779,719.713864,45.913117,5769.559801,236.431987,1858.680977,717.338098,1544.951647,184.614545,189.424169,0,401.307906,5587.04907,1133.436417
rijndael_dec_main,12253.459045,0,1157.35381,2195.355093,0,0,1429.821318,2316.520363,11512.576305,12290.117568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sha_main,17.045326,37431.827703,1.624301,4.165483,79.111245,496.768024,1.467402,3.076504,21.219424,13.248845,0,5.266272,8.61908,20.872918,320.615303,46.195318,145.849973,124.090492,71.137141,97.057695,2.162256,10.080275,5.54691,0,3.209332,28.667714,1.680511,356.894392,195.111829,75.425887,27.005859,1421.530284,0,215.16383,0,301.173759,261.715274,0
st_main,34.871496,62052.421593,2.858322,5.00572,132.63072,561.601975,4.190761,7.213875,41.276019,59.317043,0,10.901074,7.892714,26.802361,445.307876,63.023249,199.627366,168.023068,3786.560893,137.79759,2.561668,17.464412,7.214058,18.372603,4.359564,42.199868,2.406542,723.1124,315.08491,103.570532,33.755667,2085.979444,179.037558,5069.11945,0,525.502229,430.544224,58.974501
statemate_main,0.206968,3833.179558,0.088681,0.158555,0,33.040675,0.069639,0.234269,0.696516,0.516394,0,0.229187,0.125976,0.510469,4.248842,0.412615,1.187022,1.52071,50.703602,2.298641,0.072137,0.738148,0.125194,0.129887,0.080629,0.761112,0.046082,2.390799,12.124685,1.792446,0.237249,79.401024,1.75447,278.464593,0,0,15.098557,0.44456
