,cover_main,dijkstra_main,fir2dim_main,ndes_main
cover_main,0,0,0,97.75481099999999
dijkstra_main,0,0,0,75.65903399999999
fir2dim_main,0,0,0,91.953452
ndes_main,98.403682,77.137555,91.387395,0
