,adpcm_dec_main,binarysearch_main,cover_main,ndes_main
adpcm_dec_main,0,0,0,0.787668
binarysearch_main,0,0,0,0.542949
cover_main,0,0,0,1.500878
ndes_main,2.322919,0.359115,1.80275,0
