,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,huff_dec_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,67.38191,0,100.771738,0,135.679864,0,120.076626,0
binarysearch_main,67.38191,16.948968,28.334371,41.07188,19.377772999999998,73.22971,16.819402,62.543354,124.289872
expint_main,0,28.334371,0,59.438492,0,83.873253,0,86.246722,0
fir2dim_main,100.771738,41.07188,59.438492,0,48.735299999999995,0,46.404791,0,156.905059
fir_main,0,19.377772999999998,0,48.735299999999995,0,81.747807,0,68.86535,0
huff_dec_main,135.679864,73.22971,83.873253,0,81.747807,0,76.145839,0,184.404672
jfdctint_main,0,16.819402,0,46.404791,0,76.145839,0,59.499776999999995,0
ndes_main,120.076626,62.543354,86.246722,0,68.86535,0,59.499776999999995,0,179.80066
statemate_main,0,124.289872,0,156.905059,0,184.404672,0,179.80066,0
