,cover_main,dijkstra_main,fir2dim_main,ndes_main
cover_main,0,0,0,87.48944800000001
dijkstra_main,0,0,0,69.63639
fir2dim_main,0,0,0,78.24885499999999
ndes_main,88.234985,71.120671,77.64243099999999,0
