,cover_main,dijkstra_main,fir2dim_main,ndes_main
cover_main,0,0,0,1.320494
dijkstra_main,0,0,0,0.913287
fir2dim_main,0,0,0,2.657209
ndes_main,2.066031,2.397568,2.050785,0
