,cover_main,dijkstra_main,duff_main,fir2dim_main,ndes_main
cover_main,0,0,0,0,74.516228
dijkstra_main,0,0,0,0,59.83651
duff_main,0,0,0,0,46.192236
fir2dim_main,0,0,0,0,63.07036600000001
ndes_main,74.516228,59.83651,46.192236,63.07036600000001,0
