,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,228547,0,228547,0,0,228547,0
binarysearch_main,12991,12928,12928,12928,12928,12928,12928,12928
expint_main,0,7713525,0,7683754,0,0,7839309,0
fir2dim_main,533113,517586,506044,0,516240,516241,0,516241
fir_main,0,52781663,0,52824242,0,0,52839564,0
jfdctint_main,0,71470,0,75276,0,0,74707,0
ndes_main,3559704,3468483,3782745,0,3698292,3720689,0,3739555
statemate_main,0,7142303,0,148123,0,0,7247681,0
