,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,huff_dec_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,270871,0,675371,0,514971,0,508171,0
binarysearch_main,13591,13228,13528,21928,13228,17428,13528,17728,14128
expint_main,0,9025969,0,19829548,0,18216656,0,17357837,0
fir2dim_main,553114,520786,530044,0,523641,0,530740,0,526840
fir_main,0,53831662,0,57094242,0,57465863,0,55219564,0
huff_dec_main,44208112,44183249,43358032,0,43757165,0,43054088,0,42873887
jfdctint_main,0,105070,0,198476,0,197620,0,191607,0
ndes_main,3892102,3662745,4120594,0,3809857,0,4000511,0,5642237
statemate_main,0,7385264,0,19739114,0,16793825,0,20196653,0
