,adpcm_dec_main,binarysearch_main,expint_main,fir2dim_main,fir_main,jfdctint_main,ndes_main,statemate_main
adpcm_dec_main,0,224827,0,231414,0,0,248299,0
binarysearch_main,16504,12928,12928,12928,12928,12928,14486,14486
expint_main,0,7230769,0,7415666,0,0,8588507,0
fir2dim_main,545828,517586,506044,0,516241,516240,0,540173
fir_main,0,52781662,0,52824242,0,0,53274964,0
jfdctint_main,0,71470,0,75276,0,0,92308,0
ndes_main,4393873,3450245,3723058,0,3301950,3480811,0,4393017
statemate_main,0,6708158,0,7045958,0,0,7364497,0
