,cover_main,dijkstra_main,fir2dim_main,ndes_main
cover_main,0,0,0,0.000431
dijkstra_main,0,0,0,0.005294
fir2dim_main,0,0,0,0.641381
ndes_main,1.74075,5.906261,11.919535,0
