,cover_main,dijkstra_main,fir2dim_main,ndes_main
cover_main,0,0,0,84.260291
dijkstra_main,0,0,0,66.305493
fir2dim_main,0,0,0,72.742211
ndes_main,86.00061,72.20645999999999,84.020365,0
